cpa,yr_id,name,population,,,
East Elliott,2020,62 to 64,6,,,
East Elliott,2020,65 to 69,1,,,
East Elliott,2020,70 to 74,0,,,
East Elliott,2020,75 to 79,0,,,
East Elliott,2020,80 to 84,0,,,
East Elliott,2020,85 and Older,6,,,
Fairbanks Country Club,2020,Under 5,38,,,
Fairbanks Country Club,2020,5 to 9,49,,,
Fairbanks Country Club,2020,10 to 14,66,,,
Fairbanks Country Club,2020,15 to 17,52,,,
Fairbanks Country Club,2020,18 and 19,27,,,
Fairbanks Country Club,2020,20 to 24,35,,,
Fairbanks Country Club,2020,25 to 29,13,,,
Fairbanks Country Club,2020,30 to 34,31,,,
Fairbanks Country Club,2020,35 to 39,61,,,
Fairbanks Country Club,2020,40 to 44,77,,,
Fairbanks Country Club,2020,45 to 49,76,,,
Fairbanks Country Club,2020,50 to 54,69,,,
Fairbanks Country Club,2020,55 to 59,70,,,
Fairbanks Country Club,2020,60 and 61,34,,,
Fairbanks Country Club,2020,62 to 64,35,,,
Fairbanks Country Club,2020,65 to 69,65,,,
Fairbanks Country Club,2020,70 to 74,50,,,
Fairbanks Country Club,2020,75 to 79,36,,,
Fairbanks Country Club,2020,80 to 84,22,,,
Fairbanks Country Club,2020,85 and Older,10,,,
Fallbrook,2020,Under 5,2682,,,
Fallbrook,2020,5 to 9,3020,,,
Fallbrook,2020,10 to 14,3009,,,
Fallbrook,2020,15 to 17,1683,,,
Fallbrook,2020,18 and 19,1200,,,
Fallbrook,2020,20 to 24,3079,,,
Fallbrook,2020,25 to 29,3016,,,
Fallbrook,2020,30 to 34,2928,,,
Fallbrook,2020,35 to 39,2885,,,
Fallbrook,2020,40 to 44,2502,,,
Fallbrook,2020,45 to 49,2607,,,
Fallbrook,2020,50 to 54,2755,,,
Fallbrook,2020,55 to 59,3264,,,
Fallbrook,2020,60 and 61,1399,,,
Fallbrook,2020,62 to 64,2090,,,
Fallbrook,2020,65 to 69,3091,,,
Fallbrook,2020,70 to 74,2693,,,
